Tweets,Retweets,Favorite Tweets,Location
"Another day another #NataliePortman interview, this time with @USATODAY 
 ",Natalie Portman explains how she's still learning to use her power at #PowerOfWomen presented by @lifetimetv  ,paramount literally had no idea what they were doing with ANNIHILATION &amp; seemed to be terrified throughout the entire endeavor? honestly iconic! i love that a fucking natalie portman film failed upon initial release &amp; will become a true sci-fi classic ,
"Triumph &amp; Tears in these new #VoxLux stills. 
More here   ",Natalie Portman shares her childhood obsession with 'The Baby-sitters Club' books #PowerOfWomen presented by @lifetimetv  ,"ANNIHILATION got within box office shouting distance of the directors last film, even though by week 3 it was playing only once or twice a day at theaters that still had it, and the only advertising was word of mouth &amp; reviews. Paramount left money on the table with this one. ",
"Don't forget, #NataliePortman on @TheEllenShow tomorrow  
 ",Honorees Natalie Portman and Tiffany Haddish have arrived at Variety's #PowerofWomen presented by @lifetimetv along with #MeToo advocate Alyssa Milano and presenter Jenifer Lewis  ,George Lucas and Natalie Portman on set ,
"#NataliePortman attends #AFL Training Session Down Under 
 ","From Natalie Portman to Melissa McCarthy to Viola Davis, badass
women rocked the Toronto Film Festival @voguemagazine
 ",Honorees Natalie Portman and Tiffany Haddish have arrived at Variety's #PowerofWomen presented by @lifetimetv along with #MeToo advocate Alyssa Milano and presenter Jenifer Lewis  ,
#NataliePortman attended the National Gallery of Victoria Gala earlier today and WOW   ,"Natalie Portman for Miss Dior, 2017. ",Natalie Portman shares her childhood obsession with 'The Baby-sitters Club' books #PowerOfWomen presented by @lifetimetv  ,
"RT @NewYorker: Is Natalie Portmans performance in ""Vox Lux""as a star who has endured a violent calamity in an age when fame itself is a p",@scottderrickson Also #gardenstate them all screaming to #onlylivingboy is like.... oh man. Oh man the goosebumps and chills. @zachbraff @natpdotcom ,Natalie Portman explains how she's still learning to use her power at #PowerOfWomen presented by @lifetimetv  ,
RT @filmartbox: Darren Aronofsky and Natalie Portman on the set of Black Swan (2010). ,#LeonTheProfessional was released 24 years ago on September 14. Directed by the legend @lucbesson with tremendous cast @JeanReno48 and #NataliePortman THANK YOU FOR YOU HAVE DONE!!! ,Natalie Portman reacts to Brett Kavanaugh's confirmation to the Supreme Court (Watch) | Variety's #PowerOfWomen presented by @LifetimeTV  ,
The second #VoxLux #trailer is here and it is decidedly more focused on the mainstream than the first one. ,@AnnihilationMov featured as no.2 under Scariest Movies of 2018.  #NataliePortman @esquire ,@ramanvesh @harari_yuval @natpdotcom Definitely! Great conversation! Thank you both,
RT @GoldDerby: BIG new about the #GoldenGlobes category placement for #NataliePortman @VoxLuxMovie. @natpdotcom @nataliepbr ,#WednesdayWisdom watch @natpdotcom destroy these wings ,The Professional is my favorite movie of all time. @natpdotcom @JeanReno48 @GaryOldmanWeb,
"RT @NEONrated: ""We're gonna bring it back to where it all began."" - Celeste
New #VoxLux trailer tomorrow. Featuring new music by Sia. ","Wow! Watched movie ""Closer"" for first time after all these years.
Good, adult movies like this NEVER  go bad.  Outstanding acting by @CliveOwen &amp; Natalie Portman. @NatPdotcom",Embracing London's vibrant culture atm with events like Natalie Portman in conversation with @harari_yuval &amp; @ProfBrianCox introducing the @BBC Symphony Orchestra &amp; sharing facts about our solar system ~ bring on the @BFI Film Festival weekend after next! #london #londonlife ,
"#NataliePortman meets a friend at the zoo in Australia 
  ","This #MotivationMonday we turn to actress, philanthropist, and @Harvard alumna, @natpdotcom for inspiration. Dont feel unmotivated when studying any aspect of life! Its important to see the purpose in studying and allow the mind to grow through learning. ",A very young Natalie Portman ,
#NataliePortman is in Australia with the family at the moment. We (generally) don't cover private coverage on social media accounts so be sure to keep checking the main site   ,"""Ninety per cent of how you learn is watching great people. When you are surrounded by good actors it lifts your performance.""#NataliePortman #HappyBirthday ",@natpdotcom How the fuck is Annihilation the runner up? Get it together people.,
"New #VoxLux video clip + an interview video piece about the film
  ",Natalie Portman has come a long way since the #StarWars prequels @natpdotcom  #NataliePortman ,"From Natalie Portman to Melissa McCarthy to Viola Davis, badass
women rocked the Toronto Film Festival @voguemagazine
 ",
A video showing the many faces of #natalieportman. What's missing? ,"Check out our #4K @UltraHDBluray review of #Annihilation, one of the years greatest films thus far if I dont say so myself!  This 4K edition is ONLY available at @BestBuy! @AnnihilationMov @natpdotcom @NateliePortman @AlexGarland @MisterUHDdisc "," out of these performances by actress natalie portman, which one is the best?",
"RT @FamaeChallenge: [They support us ] Today, thank you @natpdotcom for being a PRECIOUS WATER! supporter. 
2 000 000 for water innovato",NEW VIDEO Natalie Portman smiles to fans while leaving Boston Calling Film Festival  @bostoncalling @brattletheatre #Cambridge #Boston #NataliePortman @natalieportman #bostoncalling2018 #filmfestival #BlackSwan #StarWars #Leon @natpdotcom @nattyfanstar," in my point of view, this is the best interview made to @harari_yuval he answers more existential questions than the always present questions about AI, @natpdotcom great questions especially that one's from your psicology studies background. Great!!!",
"Love this new #VoxLux still and check out the amazing costume exhibit here 
 ",Saw #Annihilation. Wow. Never imagined Id watch Natalie Portman reading my book in a film. Mind = blown by the many ways #HeLa and #HenriettaLacks weave throughout the story. What a wild and terrifying ride (@natpdotcom rocks) ,"Natalie Portman / fave work: 
Black Swan (2011)
Jackie (2016) 
V for Vendetta (2005) ",
"New photos and interview with #NataliePortman in the LA Times over here
  ",Genuinely the most insane alien/sci-fi I have ever seen oh my days @AnnihilationMov @natpdotcom @ginarodriguezbr @TessaThompson_x @NetflixUK #AnnihilationMovie ,"@natpdotcom is a amazing actress just look at her films.
Thor, Star Wars prequels, Black Swann and V for Vendetta etc. ",
Gotta love this new #VoxLux still  ,"Coincidentally, I just saw @AnnihilationMov on #InternationalWomensDay
Some of those special effects were incredible. It also featured one of my favorite CSN songs, ""Helplessly Hoping"" - pretty perfectly.
@TheDavidCrosby @JeffVandermeer @NatPdotCom @BenjaminSal @TheRealRobHardy",@scottderrickson Also #gardenstate them all screaming to #onlylivingboy is like.... oh man. Oh man the goosebumps and chills. @zachbraff @natpdotcom ,
"Gold Derby sits down for a 12-minute interview with #NataliePortman
Watch it here   ","#TimesUp: Women launch campaign to fight #sexualharassment - A VERY good cause and something good to come out of the years abuse people have had to suffer.

More at  ",WIP on the lovely Natalie Portman today @natpdotcom @natalieportmanupdate #pencilportrait #celebportrait ,
Excellent news - #NataliePortman rumoured to be joining #WesAnderson's new film   ,"I am pleased to have this opportunity to support the 2018 Genesis Prize Laureate Natalie Portman @natpdotcom in her noble undertaking:

",@natpdotcom Ok i feel better now.  ,
How cool are these #VoxLux stills? More here   ,"@faniaoz finally got to watch ""Tale of Love&amp;Darkness"" by @natpdotcom. not bad at all. a challenging endeavor. the book is too vast. the intimacy is there, the sadness darkness love too, but humor is missing.",@natpdotcom cool. in the future (if you want) i'll delete those posts if i see them stacking up like that.,
"All 40 #NataliePortman Movies Ranked From Worst To Best. What do you think?
 ","Actress @natpdotcom has won the Jewish Nobel Peace Prize for her social and animal activism.  #vegannews

","@natpdotcom @HebrewU @HebrewUAlum We know (or rather, we hoped it was an unofficial-but-official). But we're as big fans of #natalieportman as anyone alive!",
"#NataliePortman looked stunning at the #AFIFEST screening of #VoxLux 
  ","#NeverForget that @WWF made @WWE change their name. 
Just remembered its the  #5thofNovember #WWV #V #vforvendetta #PandaWrestling #mashup ","We completely agree, @natpdotcom. It's going to be an awesome event. Are you going to talk about your time @HebrewU?  Can you give a shout out to all @HebrewUAlum in the UK? Best wishes from us all at the British friends! ",
Simply sublime @mondo posters for #annihilation   ,"natalie portman in  "" black swan ""
@natpdotcom ","Natalie Portman for Miss Dior, 2017. ",
"A glimpse of #NataliePortman during the #VoxLux Press Junket 
  ","Black swan - Swan Lake

#swanlake #GraphicDesigner #arte #inspiration #Graphic 
@20thcenturyfox @natpdotcom ",@natpdotcom @GabrielKinneavy  stop it,
"It's #VotingDay in the US today and last night #NataliePortman joined many other celebs for a telethon to encourage people to cast their votes  
  ",#NataliePortman @natpdotcom donated @MATT_AND_NAT #vegan sneakers to #celebrityshoeauction   ,@GabrielKinneavy @natpdotcom You RT for GAL!!!! jkjkjk,
#NataliePortman joins other celebs like #Pharrell and #JessicaAlba for Get Out The Vote telethon   ,"Just saw #Jackie , a movie about #jacquelinekennedy . Marvelous performance by @natpdotcom My heart goes out to this entire episode.",Huge News! @HebrewU's Prof. of History Yuval Noah Harari @harari_yuval is in London launching his new book '21 lessons for the 21st Century' at SOLD OUT event with former @HebrewU student #NataliePortman. Watch him discuss one lesson at  @BFHU1925 #excited ,
Remember remember the #5ThOfNovember ,@natpdotcom Please share this to fans of Natalie - ,@AnnihilationMov featured as no.2 under Scariest Movies of 2018.  #NataliePortman @esquire ,
"#NataliePortman attended a @DEADLINE event for the Directors Guild titled ""The Contenders"". Award season is in full swing. Photos and video from the appearance here   ","Whose seen the @natpdotcom documentary based on the @nytimes best selling book 'Eating Animals'? 

",#LeonTheProfessional was released 24 years ago on September 14. Directed by the legend @lucbesson with tremendous cast @JeanReno48 and #NataliePortman THANK YOU FOR YOU HAVE DONE!!! ,
"RT @ThePlaylist: ""I was part of the #ManicPixieDreamGirl coining. I find it very upsetting to be part of that.
#NataliePortman ",2010 Black Swan released #OnThisDay starring @natpdotcom @MilaMilakunis &amp; @BarbHersheyFan @IMDb ,uh goodbye post secondary school ,
#NataliePortman received @IndieWire Honors last night. Lots of great photos here   ,"@natpdotcom @Behance portfolio: ""Mathilda, The Professional"" ",!!!! I cant wait ,
A very cool 10-min video interview with #NataliePortman as she takes us through her #filmography. ,"Here's a tribute to @natpdotcom  on her 35th birthday from our team. 

Happy birthday Natalie Portman! :)",She has an amazing back. Hello.  ,
Happy #Halloween  ,Happy Birthday #NataliePortman @natpdotcom @nataliepbr @natalie025 ,#WednesdayWisdom watch @natpdotcom destroy these wings ,
WOW - Check out #NataliePortman in the new Vanity Fair. Full cover story and photoshoot here   ,Happy Birthday #NataliePortman. We got you a #BlackSwan video essay:  @natpdotcom ,Some really strong black swan vibes in this teaser. #oscarnumber2 #VoxLux ,
"Natalie Portman at #AFIFest, a new interview plus @maddieziegler dresses as Mathilda for Halloween. 
All those news items are here   ",ThankU @natpdotcom for being a lifelong #vegan &amp; #animalrights advocate   #March #WomensMonth ,Natalie Portman in Slouchy Straight-Leg Jeans -  @natpdotcom  #lowrisejeans #frayedhems #straightjeans #denim #jeans #indigo #dayout #casula #streetlook #denimtrends #celebrity in jeans ,
"#NataliePortman met with #BetoORourke's team in Texas on Friday 
  ",@janegotagunfilm Amazing  @natpdotcom @joeledgerton1 @mcgregor_ewan @RodrigoSantoro @boydHolbrook1 @NoahEmmerich  ,"Wow! Watched movie ""Closer"" for first time after all these years.
Good, adult movies like this NEVER  go bad.  Outstanding acting by @CliveOwen &amp; Natalie Portman. @NatPdotcom",
"Natalie Portman attended the #AustinFilmFestival Screening of #VoxLux 
 ","""Natalie Portman""
Color pencil Polychromos on paper - work in progress
@natpdotcom 
@FaberCastell ",Second Oscar here we come! ,
"Natalie Portman is in Texas throwing her support behind democrats in the upcoming #MidtermElections. Photos and video at the link. #equalityvoters
  ","In 1991, Natalie Portman was discovered by a scout in a pizza parlor",@natpdotcom Happy Sunday my lovely friend Natalie !! ;) ,
"The #VoxLux poster from yesterday was NOT an official release. Apologies for that. 
  ",Anywhere but here is on #neflix great day off so far! @natpdotcom,"@natpdotcom What, Natalie plays a pop star in this movie? What's the synopsis?",
The full #VoxLux trailer is here and it is glorious. Enjoy   ,Digging this BLACK SWAN by Sam Wolfe Connelly for @MondoNews. Available at @MondoConAustin in October. ,"This #MotivationMonday we turn to actress, philanthropist, and @Harvard alumna, @natpdotcom for inspiration. Dont feel unmotivated when studying any aspect of life! Its important to see the purpose in studying and allow the mind to grow through learning. ",
"#NataliePortman attended an #EatingAnimals Screening a few days ago
More here   ","I watched ""Closer (2004)"". It's bittersweet.
I love Natalie Portman. Alice character is such a human...
 
@natpdotcom",@natpdotcom @latimes Special Thanks For The Amazing Segment Excellent Photos On @latimes That Absolutely Stunning lrresistible I Super Love My Dear Favorite The Beauty Sexy Wonderful Oscars Graduate Harvard University The Actres Greatest Friend @natpdotcom Love You Have a Super Wonderful Days See U,
"#NataliePortman lands the rather unspecific ""Performance Award"" from @IndieWire and will attend a ceremony on Nov 1. 
Read about it here   ","Natalie Portman in ""Black Swan"" is by far the best female performance of the century. @natpdotcom",@BytownBattalion reaction when they see they drew @thornsbaseball in game 1 @natpdotcom ,
"#NataliePortman attended Benjamin's @LADanceProject gala on the weekend and lips were locked!
  ",#NataliePortman announces the winner of the #LVMHPrize 2015 ,"WE HIT OUR TARGET! Huge thank you to everyone who helped us get here in just 11 Days! We will keep the #KickStarter live as there are 19 Days Left, so lets keep making noise &amp; keep sharing on social media  Keep an eye out for updates &amp; new #rewards @MrHreviews @80sNostalgia ",
"Remember the opportunity to go on a double date with #NataliePortman? Well it happened and this was the lucky winner. More details here 
  ",Finished  #scribbles #sketch #art #NataliePortman #starwars as #PadmeAmidala #penart #ballpen #artwork @natpdotcom ,"Haven't backed us yet? Arnie has a message for you 

Jokes aside, you guys rock! Keep spreading the word -  

#80s #arnoldschwarzenegger #PLEDGE ",
RT @Seaynick: fortunate to see VoxLux @chifilmfest film was a high surprise! Here are Natalie Portman and Brady Corbet discussing the the f,"#doodling #Natalieportman as #PadmeAmidala in progress
@natpdotcom #StarWars #princessLeia #scribbles #art #BicPen  ","A little video for #action and #ChuckNorris fans. If you want a deeper look at @chucknorris and his films, back our #Kickstarter documentary today   ",
RT @sw_holocron: George Lucas and Natalie Portman on set ,@natpdotcom just spotted in the Cannes audience with @B_Millepied ! ;) Can't wait for the dance show !,"""Ninety per cent of how you learn is watching great people. When you are surrounded by good actors it lifts your performance.""#NataliePortman #HappyBirthday ",
"RT @mattzollerseitz: ANNIHILATION got within box office shouting distance of the directors last film, even though by week 3 it was playing",@natpdotcom The Amos Oz's novel is a masterpiece of universal literature. Natalie's rol is the Fania (Oz's mother) caracter,@natpdotcom I suffered one of the earliest diagnosed cases of port mania,
"All 40 #NataliePortman Movies Ranked From Worst To Best. Agree? Disagree? 
 ",My woman crush for today! #feminism #beauty #WCW @natalieportman7 @natpdotcom ,Happy birthday  @natpdotcom ,
Have you seen #NataliePortman's new appearance on the Today Show yet? Nudge nudge   ,"Watch my new speed drawing portrait of #NataliePortman!
 @natpdotcom","@natpdotcom Can't wait, that last one was great!",
"Watch #NataliePortman's inspiring 15 min #WomenOfPower speech here  
 ",@natpdotcom We didn't need science to tell us that!!!!,I just watched annihilation last night.Thank you @natpdotcom for giving me weriod fever dreams and waking up in a cold sweat last night.,
"Earlier today #NataliePortman appeared at Variety's #PowerOfWomen event 
  ","@natpdotcom Did you hear? According to the  (German science Magazine and TV), Natalie Portman has THE Perfect Face!!",@natpdotcom Yay it has been a wonderful day just keeps getting more wonderful,
RT @Variety: Natalie Portman reacts to Brett Kavanaugh's confirmation to the Supreme Court (Watch) | Variety's #PowerOfWomen presented by @,Go behind the scenes of Natalie Portman's Miss Dior wedding:  ,I'm laughing so hard but at the same time ready to be a warrior ,
RT @Variety: Natalie Portman explains how she's still learning to use her power at #PowerOfWomen presented by @lifetimetv ,"Inspired by #VforVendetta @natpdotcom @VforVendetta209 @VForVendetta04 
Follow me on insta: wideeyed_pocket sized  ","@natpdotcom Happy Birthday,Sweetheart!Todayshould be a World holiday... Natalie Day!",
RT @Variety: Natalie Portman shares her childhood obsession with 'The Baby-sitters Club' books #PowerOfWomen presented by @lifetimetv ,"However, we fucked it up. Here is our apology to Natalie Portman:  #westing4divesting @theyesmen @natpdotcom",Jane Foster as the female Thor?  ,
RT @Variety: Honorees Natalie Portman and Tiffany Haddish have arrived at Variety's #PowerofWomen presented by @lifetimetv along with #MeTo,"Vote for #MissDior, nominee on @awwwards 
Love the campaign with @natpdotcom, pictures and animations.
-
","I've never seen this pic, omg  ",
#NataliePortman made an appearance in a new video with other celebs like #JuliaRoberts and #AnneHathaway to talk about #InternationalDayoftheGirl. Watch the video here  ,@natpdotcom I'm pretty sure this cheap hair dye company owes you royalties lol ,Natalie Portman has come a long way since the #StarWars prequels @natpdotcom  #NataliePortman ,
It's happening - Neon get's behind #NataliePortman with a #BestSupportingActress campaign   ,Natalie Portman - b/w picture colored by me. @natpdotcom #beauty ,NEW VIDEO Natalie Portman smiles to fans while leaving Boston Calling Film Festival  @bostoncalling @brattletheatre #Cambridge #Boston #NataliePortman @natalieportman #bostoncalling2018 #filmfestival #BlackSwan #StarWars #Leon @natpdotcom @nattyfanstar,
"#NataliePortman has a new #Variety feature #TimesUp 
Check it out here   ",@natpdotcom @Dior  nice almost wedding. Should have offered the set  to a couple wanting to wed after the commercial shoot....,"Check out our #4K @UltraHDBluray review of #Annihilation, one of the years greatest films thus far if I dont say so myself!  This 4K edition is ONLY available at @BestBuy! @AnnihilationMov @natpdotcom @NateliePortman @AlexGarland @MisterUHDdisc ",
Not the clearest but a new photo of #natalieportman in #voxlux  ,Natalie Portman - b/w picture colored by me. @natpdotcom ,"@natpdotcom 
  I think that #NataliePortman did #JackieKennedy great justice in the film ""Jackie"". ",
@JellyBeam009 It is a quote from a vanity fair article.,"@natpdotcom 
#NataliePortman
Mathilda
you just killed me last night
what a awesome acting
#LonTheProfessional",@natpdotcom went from having the twins of Darth Vader to being in a relationship with Thor. What a rollercoaster,
"@JellyBeam009 @MerylStreepPage I very much regret it, she said. I take responsibility for not thinking about it enough. Someone I respected gave it to me, and said, I signed this. Will you too? And I was like, sure. It was a mistake.""",@natpdotcom Where I can get the magazine in Spain? Would love to have,"""Hopefully this story has almost run its course."" I couldn't disagree more. It's an important story of one whose integrity rose above ""group think,"" proving that not everyone is marching lock-step on the same destructive path. Real thinking people should be very proud of her. ",
Swan for me. ,Natalie Portman Makes Her Couture Debut at Dior by @nytimes @natpdotcom @Dior  ,We all go into jobs with the best of intentions but sometimes the challenges can be tougher than we expected. It's important to remember that we learn the most from these experiences. #Optimism #Marketing ,
"RT @ErikaOlde: From Natalie Portman to Melissa McCarthy to Viola Davis, badass
women rocked the Toronto Film Festival @voguemagazine
", maybe interesting for you guys? #dior #natalieportman @natpdotcom @Darren_Buser,"@natpdotcom Beautiful, but not nearly as awesome as the Chinese Thor 2 Poster, though. ",
@Gustavo05459953 @harari_yuval If you liked him check out his recent appearance on the Waking Up podcast.,@natpdotcom The trailer for Knight of Cups is our pick of the week. ,@natpdotcom I like it but there are things that make the editor in me twitch (why did they enlarge her head?),
"Be sure to watch #NataliePortman's appearance with Yuval Noah Hari here 
  ","#ThorFact: In #ThorDarkWorld, photos of young Jane Foster were real pics of Natalie Portman as a child, courtesy of her mother.","@natpdotcom Ok, never saw Beautiful Girl, sesame street,  non of the short except the Mis Dior, didn't know she did the simpsons, Jakie and that Angie show. I think I did pretty good..!!",
"RT @eliesaaabs: Natalie Portman for Miss Dior, 2017. ",THE OTHER BOLEYN GIRL on Ovation tonight. Scarlett Johanssen and Natalie Portman with Eric Bana. Gripping drama in Henry VIII court. #brutal,Genuinely the most insane alien/sci-fi I have ever seen oh my days @AnnihilationMov @natpdotcom @ginarodriguezbr @TessaThompson_x @NetflixUK #AnnihilationMovie ,
"#NataliePortman to be honoured by @Variety at Power of Women luncheon 
Check the details here   ",Finished portrait #natalieportman @natpdotcom #art #design #watercolour #gay #gayuk #gayartist ,@natpdotcom Great use of the lighthouse combusting with the branches (idk what those things were called in the film).,
RT @Nurse__abby: @scottderrickson Also #gardenstate them all screaming to #onlylivingboy is like.... oh man. Oh man the goosebumps and chil,"Photoset: Natalie Portman photographed for Vogue, 1996. ",Saw #Annihilation. Wow. Never imagined Id watch Natalie Portman reading my book in a film. Mind = blown by the many ways #HeLa and #HenriettaLacks weave throughout the story. What a wild and terrifying ride (@natpdotcom rocks) ,
Not even finished but already great. ,@natpdotcom I  immediately thought of the Village People when I saw this photo. She's still adorable though.  :),@natpdotcom Natalie deserves to be in a great Star Wars film.,
@ESearleDesigns Lovely job,37 #Star Wars Characters Ranked From Least To Most Stylish  @starwars @carriefisher @natpdotcom @HarrisonFordLA,@natpdotcom This film is going to be wicked weird it seems. I love it.,
Find out more about Natalie Portman's #BelieveSummers support here   ,@natpdotcom I made a twitter so I could tell you how absolutely BRILLIANT you were in Black Swan!!! I just saw it for the first time!,"Coincidentally, I just saw @AnnihilationMov on #InternationalWomensDay
Some of those special effects were incredible. It also featured one of my favorite CSN songs, ""Helplessly Hoping"" - pretty perfectly.
@TheDavidCrosby @JeffVandermeer @NatPdotCom @BenjaminSal @TheRealRobHardy",
"@the_jenr I'll do it with a ban. Annoying spam, been thinking of creating a private fb group instead.",Fave Sci-Fi Hottie 1st Round Match-Up! Fave for Claudia Black RT for Natalie Portman ,So far my day has consisted of watching Natalie Portman work in the MOST 80's-esque pop star outfit and making eye contact with Jude Law. My day's going great.,
@BFHU1925 @HebrewU @HebrewUAlum This is not an official channel for Natalie.,"Last Night I watched my favorite #MikeNichols film ""CLOSER"" it a beautiful stylish gem! Xox ","@natpdotcom Natalie, you are gorgeous and more importantly, from everyone I know that knows you, you are sweet &amp; kind!!!  Big fan!",
Yuval is awesome. Looking forward to this. ,"Nov 18, 1994: Leon: The Professional was released. #TodayInActionHistory #JeanReno @JeanRenoLeon @natpdotcom","These are our top 3 tips for a zero-waste wedding!

#zerowaste #ecowedding #wedding #romance #weddinghour #weddingplanning #myweddingplanner #MWP 

",
RT @lunainoor: #LeonTheProfessional was released 24 years ago on September 14. Directed by the legend @lucbesson with tremendous cast @Jean,#CosplayAppreciationDay Myself as Jane Foster from Thor two! @natpdotcom ,It's so weird seeing Natalie Portman on a public social media platform. I hope she keeps it up! ,
@the_jenr @GabrielKinneavy Are you saying Natalie is bad at sex? ,Just watching Black Swan again  @natpdotcom @blackswanmovie #movienights ,"@SaintEhlers Nope,  The failure is with the Director not the Cast.  Look at Natalie Portman @natpdotcom  Liam Neeson
@LiamNeeson_ and Ewan McGregor @mcgregor_ewan
All good actors who came off poorly in the films.   Hayden was not to blame,  George Lucas was.",
@the_jenr @GabrielKinneavy One RT for many likes ,"#IAmACosplayer ""you're giving natalie portman a run for her money"" ","I tried to draw it as best as I could
#NataliePortman 
#leon
#mathilda
#fanart 
#disaster  ",
RT @the_jenr: @AnnihilationMov featured as no.2 under Scariest Movies of 2018.  #NataliePortman @esquire ,Norah Jones and Natalie Portman in MY BLUEBERRY NIGHTS  2007. ,@mkygod @natpdotcom Its verified now.,
#VoxLux to open Dec 7 in limited release and wide 2 weeks later. Prime position for awards consideration    ,THOR 3 CONFIRMED WITH LOKI RETURNING - ASGARD DESTROYED @thenerdmachine @Marvel @nerdist @ChrisHemsworthv @natpdotcom ,"I am pleased to have this opportunity to support the 2018 Genesis Prize Laureate Natalie Portman @natpdotcom in her noble undertaking:

",
"Andreas reviews the Death and Life of John F. Donovan from #TIFF18 #xavierdolan 
  ","Watching Garden State, @natpdotcom is so freaking adorable...",@natpdotcom Happy Hanukkah Nat may it shine bright with happiness and peace,
Andreas saw #VoxLux at #TIFF18 - here are his thoughts for    ,@natpdotcom me and my 3 friends watching v for vendetta saying remember remember the 5th of November.,I seriously love the new dior commercial starring @natpdotcom @PortmanUpdate,
"Check out #NataliePortman's Vanity Fair video interview for #VoxLux here 
 ","@natpdotcom Moments ago i was watching ""Mars Attacks"" she's SO GORGEOUS as the president's daughter :) ","@faniaoz finally got to watch ""Tale of Love&amp;Darkness"" by @natpdotcom. not bad at all. a challenging endeavor. the book is too vast. the intimacy is there, the sadness darkness love too, but humor is missing.",
Natalie Portman looking radiant for #VanityFair Italy   ,@natpdotcom you could own #NataliePortman's signed shoes! Join #celebrityshoeauction with @SmallStepsDocs  ,@Dior have absolutely smashed it with their new advert! @natpdotcom #missdior ,
A very sweet video interview with #NataliePortman and the young actor from #XavierDolan's new film   ,at #WoodstockFilmFestival with my leading stars the great jc and np. thank you Woodstock: ,"@natpdotcom Natalie, I just wanted to congratulate you. I just saw A Tale of Love and Darkness, which I deeply liked. It touched my heart. Thank you.",
"Some more great portraits of #NataliePortman taken during #TIFF18 
  ",I watched Black Swan with @natpdotcom last night...I was expecting a sort of sporting rivalry but CRICKEY it was dark..balletFightClub,"@natpdotcom Id been scared too. 

Im glad she was honest and didnt embellish the situation, bc I feel some people sharing stories do that/are embellishing, so they can feel included in this madness.",
"Good news - #VoxLux has been bought by Neon for US distribution 
  ",With Natalie Portman #flawlessmagazine ,@natpdotcom Just watched Jackie and you were brilliant!,
The first reactions to #NataliePortman's new #XavierDolan film at #TIFF18 are here   ,@natpdotcom Natalie Portman made a list of QI panellists we'd love to see. Could you RT/Share it about please? ,"Knew I was a robber, first time that he saw me...   //  #GetTheLook ",
