twitter_text,category
Natalie Portman's next film will indeed be Pale Blue Dot for Noah Hawley (Fargo) and co-starring John Hamm (Mad Men) -  ,negative
"We reached 200,000 Facebook likes and followers. Thanks for following along! -  ",positive
I saw #annihilationfilm and here's what I thought -  ,negative
Have you seen Annihilation on Netflix yet? What did you think? -  ,negative
"In today's tidbits update - 

- new Patreon reward on the way
- Natalie for the new Star Wars
- Padme making out with Katniss? ",positive
"RT @Music__Mentor: Coincidentally, I just saw @AnnihilationMov on #InternationalWomensDay
Some of those special effects were incredible. It",positive
Behind the scenes of Natalie Portman filming Vox Lux in Brooklyn. Thanks to kalel259. ,positive
"The first screening thoughts on Natalie's next film are in, BTS video from Vox Lux and more -  ",negative
Natalie Portman's streak in action on the set of #voxlux -  ,negative
Looks like Natalie Portman is getting streaky for Vox Lux -  ,positive
Check out some cool concept art in the new #AnnihilationMovie featurette -  ,positive
Vox Lux continues to deliver badass #natalieportman set photos -  ,negative
"Our next #patreon reward is on the way. Become a patron today, get a ton of Natalie Portman photos tomorrow -  ",positive
We've got a roundup of articles about #annihilation -  ,negative
I'm already all in on Vox Lux. How about you? -  ,negative
"Read Andreas' in-depth, spoileriffic review of Annihilation here -  ",negative
"Woah, check out Natalie Portman's edgy new look for Vox Lux -  ",negative
"New #Annihilation photos, Natalie Portman on the #nerdist podcast, a profile from Slashfilm and more in today's tidbits -  ",negative
How great is this photo of Natalie Portman and Gina Rodriguez? #AnnihilationMovie #Annihilation #ginarodriguez -  ,positive
"Can't see #annihilationmovie in your country? Remember, the film is coming to #netflix on March 12. Here is the Netflix poster and trailer -  ",negative
Happy Annihilation Day! Check out a new featurette and film clip over here #AnnihilationMovie -  ,positive
"With 91% fresh on RT so far, #AnnihilationMovie is getting great reviews -  ",positive
Awwww. Millie Bobby Brown tweets about meeting Natalie Portman -  ,negative
"Natalie Portman talks Polanksi, #metoo, Reese, Annihilation, Leon and more in great new #buzzfeed interview -  ",positive
Looks like Natalie has started filming Vox Lux. ,positive
Natalie Portman sucks at tennis. Watch her admit this on Ellen -  ,negative
@DavidBo97227396 I feel your pain. It is coming to Netflix in a few weeks though.,negative
"Natalie Portman talks about Annihilation, Star Wars, and water breaking on #jimmykimmel -  ",negative
"New photos and interview with Natalie Portman, Tessa Thompson, and Gina Rodriguez in the #latimes -  ",negative
Great Annihilation article from Natalie Portman's new appearance in Time Off magazine -  ,positive
Awesome behind the scenes Annihilation photo of Natalie Portman with the other cast of ass-kicking ladies. More tidbits about the film here -  ,positive
Check out these two great red carpet interviews with Natalie Portman at the premiere of #annihilationmovie -  ,positive
Natalie Portman joined the rest of the #annihilationmovie cast at the premiere last night -  ,negative
Natalie Portman has filmed her appearance on #EllenDeGeneres It airs tonight -  ,negative
Watch Natalie Portman explain how the SNL rap was made -  ,negative
Three new clips of #natalieportman in Annihilation have emerged. Watch them here but beware mild spoilers -  ,negative
Our next #patreon reward is on the way. Learn how to get it here -  ,positive
New behind the scenes videos of Natalie Portman filming #annihilation are here -  ,negative
Natalie Portman and the rest of the Annihilation cast took part in a press junket for the film. The first photos and video have arrived here -  ,negative
Sorry the image didn't work last time. Here is one of the great Natalie Portman SNL promos -  ,positive
Natalie Portman kicking ass in new #annihilation stills and clip. Check them out here -  ,negative
Some stunning new #snl promo photos of #natalieportman have arrived. Check them here - ,positive
Behind the scenes flirtations for Dior. More Natalie Portman outtakes here -  ,negative
"""So thrilling that I was left dizzy"" 
""A sci-fi classic"" 
""One hell of a mindf*ck""

The first reviews of #annihilation are in - ",negative
"In this update - Annihilation banner, a video that was cut from Natalie Portman's #SNL appearance, and this cool poster based on the #StrangerThings sketch -  ",positive
"#natalieportman joined #avaduvernay #rashidajones and others at another #timesupnow panel. Video, report and photos here -  ",negative
I just sent out the first reward to our Patrons - almost 1k Natalie Portman photos. Donate on #patreon to get them and all the rewards to come! -  ,positive
Kapow! Check out #NataliePortman in Porter magazine -  ,negative
Natalie Portman returns to the rap game on #snl. View her appearance here -  ,negative
Don't miss Natalie Portman on #SNL tonight. Click the link to view more promo videos for her appearance -  ,positive
Natalie Portman's new DiorSkin campaign has officially launched #dior #missdior  View the video here -  ,positive
Another funny Natalie Portman SNL promo is here -  ,positive
Natalie Portman and bff Rashida Jones will join several other women for a #timesupnow panel at the 2018 Maker's Conference next week -  ,positive
Natalie Portman's hilarious SNL promo is here -  ,positive
Want to help the site and get some awesome Natalie Portman fan rewards? Become a patron -  ,positive
Update your bookmarks - Natalie Portman has changed her official Instagram account from @nportmanofficial to @natalieportman ,negative
"Be sure to read Natalie Portman's blog post on Medium, expanding on her Women's March speech -  #timesupnow",positive
"It's Portman, motherf*cker! Natalie Portman is returning to host SNL for the first time since her INCREDIBLE rap performance in 2006 -  ",negative
The young Jackie actress (@sunniepelant on Instagram) posted a lovely photo of her and Natalie Portman from the set -  ,positive
The internet woke up to young Natalie Portman looking like @milliebbrown in a big way -  ,positive
